"ID","shiftID","entryTime","entry","initials","callback","key"
28,11,16-Apr-2018 20:02:00,"LOG OPEN. SSGT P. RODRIGUEZ/EZ(AMOS), SRA S. DESOUZA/SD (AMSL) AND A1C C. BRISCOE/CB (TRAINEE) ON DUTY.","SD",,
29,11,16-Apr-2018 23:18:00,"OPS SUSPENDED BY TWR/KG FOR BARRIER RECONFIG","SD",,
30,11,17-Apr-2018 00:22:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","SD",,
31,12,20-Apr-2018 04:15:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) AND A1C A. PERSAUD/AP  ON DUTY.","SD",,
32,12,20-Apr-2018 07:41:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","SD",,
33,11,17-Apr-2018 01:46:00,"THIS WILL BE SOME SORT OF TEST",,,
35,11,17-Apr-2018 01:44:00,"ANOTHER TEST LOL",,,
36,13,22-Apr-2018 04:15:00,"LOG OPEN. SSGT M. OBER/MJ(NAMO) AND SRA S. DESOUZA/SD (AMSL) ON DUTY. NOTAMS: 19M, 0V, 2L. FLT PLANNING RM CK CMPLT. RWY 18 IN USE, RSC DRY, BWC LOW. BARRIERS CONFIGURED FOR RWY 18. SWINGSHIFT CKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHTOUT SHIFT","SD",,
37,11,17-Apr-2018 01:47:00,"TESTTTTTTTTTTGRGTSTHZSRTDYJDXTJHTRGJNGHDNNXZC FNDNSB SG",,,
39,11,17-Apr-2018 01:48:00,"SEVENN",,,
40,11,17-Apr-2018 01:49:00,"EIGHTTTTTTT",,,
41,13,22-Apr-2018 05:12:00,"AFLD5/MJ ON AFLD FOR FOD/BASH CK","SD",,
44,13,22-Apr-2018 05:35:00,"AFLD3/MJ OFF AFLD. NOTHING TO REPORT","SD",,
48,13,22-Apr-2018 10:26:00,"AFLD5/SD ON AFLD FOR LIGHTING CK","SD",,
49,12,20-Apr-2018 12:34:00,"SGDFGD","SD",,
50,12,20-Apr-2018 12:35:00,"DFGSDFG","SD",,
51,12,20-Apr-2018 11:23:00,"SDFGSDF","SD",,
52,12,20-Apr-2018 12:36:00,"SDFGSDFG","SD",,
53,12,20-Apr-2018 12:37:00,"SDFGSDFGDSFG","SD",,
54,12,20-Apr-2018 12:38:00,"SDFGDSFGDFS","SD",,
55,12,20-Apr-2018 12:39:00,"SDFGSFDGSDFG","SD",,
56,12,20-Apr-2018 12:40:00,"SDFGSDFG","SD",,
57,12,20-Apr-2018 11:11:00,"ASDFASDF","SD",,
58,12,20-Apr-2018 11:22:00,"SADFASDF","SD",,
59,12,20-Apr-2018 11:12:00,"ASDFASDFASD","SD",,
60,12,20-Apr-2018 11:13:00,"ASDFASDF","SD",,
61,12,20-Apr-2018 11:14:00,"FZDXDCV","SD",,
62,12,20-Apr-2018 11:15:00,"SDFASDFD","SD",,
63,12,20-Apr-2018 11:16:00,"ASDFASDF","SD",,
64,12,20-Apr-2018 11:17:00,"SADFASDF","SD",,
65,13,22-Apr-2018 11:13:00,"AFLD5/SD OFF AFLD. LIGHTING CK CMPLT. DISCREPANCIES LOGGED IN TRACKER","SD",,
66,14,28-Apr-2018 04:15:00,"LOG OPEN. SSGT P. RODRIGUEZ/EZ(AMOS) AND SRA S. DESOUZA/SD (AMSL) ON DUTY. NOTAMS: 17M, 0, 3. FLT PLANNING RM CK CMPLT. RWY 18 IN USE, RSC DRY, BWC LOW. BARRIERS CONFIGURD FOR RWY 18. SWINGSHIFT CHECKLIST INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","SD",,
67,14,28-Apr-2018 04:57:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","SD",,
68,14,28-Apr-2018 05:12:00,"AFLD5/SD OFF AFLD. NOTHING TO REPORT","SD",,
69,14,28-Apr-2018 07:45:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","SD",,
70,14,28-Apr-2018 08:24:00,"AFLD5/SD OFF AFLD. 50 CROWS IN VARIOUS PLACES ALONG RWY DISPERSED WITH PELLET GUN","SD",,
71,14,28-Apr-2018 11:11:00,"AFLD5/SD ON AFLD FOR LIGHTING CK","SD",,
72,14,28-Apr-2018 12:17:00,"AFLD5/SD OFF AFLD. LIGHTING CK CMPLT. DISCEREPANCIES LOGGED IN TRACKER","SD",,
73,14,28-Apr-2018 13:00:00,"SSGT P. RODRIGUEZ AND SRA S. DESOUZA OFF DUTY. CP/JV NOTIFIED SSGT P. RODRIGUEZ WILL BE ON STANDBY UNTIL 0100L, THEN SRA K. LIMA WILL BE ON STNADBY UNTIL 0500L. SWINGSHIFT CHECKLIST AND SOP #3 CMPLT. AERODROME CLOSED. LOG CLOSED","SD",,
74,15,13-Jun-2018 20:00:00,"LOG OPEN. SRA A. TOLBERT/AT(AMSL) AND SRA S. DESOUZA/SD (AMSL) ON DUTY.","SD",,
83,16,16-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) AND A1C A. PERSAUD/AP (AMSL) ON DUTY.","SD",,
84,17,16-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) AND A1C A. PERSAUD/AP (AMSL) ON DUTY.","SD",,
85,18,16-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) AND A1C A. PERSAUD/AP (AMSL) ON DUTY.","SD",,
86,19,17-Jun-2018 04:15:00,"LOG OPEN. SRA K. LIMA/KG(AMSL) AND A1C C. BRISCOE/CB (TRAINEE) ON DUTY.","SD",,
87,20,17-Jun-2018 04:15:00,"LOG OPEN. SRA K. LIMA/KG(AMSL) AND A1C C. BRISCOE/CB (TRAINEE) ON DUTY.","SD",,
88,21,17-Jun-2018 04:15:00,"LOG OPEN. SRA K. LIMA/KG(AMSL) AND A1C C. BRISCOE/CB (TRAINEE) ON DUTY.","SD",,
89,22,20-Jun-2018 20:00:00,"LOG OPEN. SSGT J. GUTIERREZ/JG, A1C A. PERSAUD/AP (AMSL) AND CIV K. NANKO/KN (AMOC) ON DUTY.","SD",,
90,22,20-Jun-2018 20:15:00,"AFLD5 ON AFLD FOR SOME RANDOM CK","SD",,
91,22,20-Jun-2018 20:15:00,"AFLD5 ON AFLD FOR SOME RANDOM CK","SD",,
105,22,21-Jun-2018 04:15:00,"SSGT J. GUTIERREZ/JG, A1C A. PERSAUD/AP  AND CIV K. NANKO/KN   OFF DUTY. LOG CLOSED","SD",,
107,24,21-Jun-2018 04:15:00,"LOG OPEN. SSGT P. RODRIGUEZ/EZ(AMOS) AND SRA K. LIMA/KG (AMSL) ON DUTY.","SD",,
108,24,21-Jun-2018 05:12:00,"AFLD5/KG ON AFLD FR FOD/BASH CK","SD",,
109,24,21-Jun-2018 13:00:00,"SSGT P. RODRIGUEZ/EZ AND SRA K. LIMA/KG    OFF DUTY. AERODROME CLOSED. LOG CLOSED","SD",,
110,25,22-Jun-2018 20:00:00,"LOG OPEN. SRA S. DESOUZA/SD(AMSL), A1C K. FLICK/KF (AMOC) ON DUTY. NOTAMS: 18M, 2V, 3L. FLT PLANNING RM CK CMPLT. DAYSHIFT CHECKLIST AND SOP #3 INITIATED. MONITORING RAMPNET FOR PROPER PHRASEOLOGY THROUGHOUT SHIFT","KF",,
112,25,22-Jun-2018 20:13:00,"AFLD5/SD ON AFLD FOR PRIOR TO FLYING CK AND DAILY INSPECTION","KF",,
113,25,22-Jun-2018 20:41:00,"PER AFLD5/SD BWC: LOW, RSC: DRY, BARRIERS WITHDRAWN","KF",,
114,25,22-Jun-2018 20:48:00,"PTD CK CONDUCTED. BOTH UHF/VHF L/C","KF",,
115,25,22-Jun-2018 20:52:00,"PER TWR/PR THEY WILL BE OPENING RWY 18 ON THE HOUR","KF",,
118,25,22-Jun-2018 21:16:00,"AFLD5/SD OFF AFLD. DAILY INSPECTION CMPLT. DISCREPANCIES LOGGED ON TRACKER. APPROX 60 BIRDS SEEN LOAFING MIDFIELD","KF",,
119,25,22-Jun-2018 22:18:00,"LMR #12 SIGNED OUT TO MAJV","KF",,
120,25,22-Jun-2018 22:32:00,"AFLD5/SD ON AFLD FOR RAMP CK","KF",,
121,25,22-Jun-2018 22:49:00,"AFLD5/SD OFF AFLD. RAMP CK CMPLT. NO NEW DISCREPANCIES","KF",,
122,25,22-Jun-2018 23:01:00,"PCAS ACTIVATED PER TWR/PR. ALL AGENCES L/C","KF",,
123,25,22-Jun-2018 23:14:00,"SCN ACTIVATED/KF. ALL AGENCIES L/C","KF",,
124,25,23-Jun-2018 01:53:00,"AFLD5/SD ON AFLD FOR FOD/BASH CK","KF",,
125,25,22-Jun-2018 22:30:00,"CRASH STATUS RECEIVED GREEN 10000","SD",,
128,25,23-Jun-2018 02:25:00,"AFLD5/SD OFF AFLD. FOD/BASH CK CMPLT. BIRD REMAINS (SPECIES UNKNOWN) FOUND ON RWY. WING SAFETY NOTIFIED. 2 483S LOGGED IN COMPLIANCE. TRACKER UPDATED","KF",,
