"ID","AF483","shiftID","checkDate","by","compliant","reason","details"
4,"07-368",,9/5/2018 0:00:00,"sd",0,"sd","sd"
19,"15-235",178,10/2/2018 7:36:09,"SD",1,,"this is a test"
20,"16-563",178,10/2/2018 7:37:58,"SD",1,,
27,"16-222",183,10/7/2018 9:12:24,"SD",1,,
28,"16-555",183,10/7/2018 9:16:18,"SD",1,,"test"
30,"15-555",183,10/7/2018 10:12:47,"SD",1,,
32,"17-222",183,10/7/2018 10:16:21,"SD",1,,
36,"17-165",183,10/7/2018 10:16:09,"SD",1,,
37,"15-126",183,10/7/2018 10:52:22,"SD",1,,
38,"16-333",183,10/8/2018 14:23:16,"SD",1,,
39,"15-366",183,10/11/2018 21:34:59,"SD",1,,
41,"15-111",184,10/12/2018 21:28:40,"SD",1,,
43,"16-111",188,10/18/2018 17:03:19,"SD",1,,"flt line road"
45,"18-212",188,10/18/2018 17:09:40,"SD",1,,"hgr 15 gate"
46,"17-321",188,10/18/2018 17:12:16,"SD",1,,"test"
47,"16-135",189,10/19/2018 13:42:11,"MJ",1,"","flt line rd"
48,"18-184",222,10/31/2018 15:24:25,"SD",1,,"FLT LN RD"
49,"16-322",222,10/31/2018 15:25:00,"SD",1,,"FLT LN RD"
54,"18-184",222,10/31/2018 16:02:29,"SD",1,"","flt line rd"
56,"16-322",222,10/31/2018 16:06:39,"SD",1,,"flt line rd"
58,"16-322",222,10/31/2018 16:07:24,"SD",1,,"flt line rd"
60,"16-322",222,10/31/2018 16:12:11,"SD",1,,"flt line road"
62,"16-322",222,10/31/2018 16:15:06,"SD",1,,"f"
64,"16-322",222,10/31/2018 16:16:37,"SD",1,,"s"
65,"17-479",224,11/1/2018 15:39:36,"SD",1,,"flt line rd"
66,"17-054",226,11/2/2018 15:39:51,"KK",1,,"AMC RAMP/KK"
67,"17-292",226,11/2/2018 15:40:31,"KK",1,,"AMC RAMP/KK"
68,"17-599",236,11/4/2018 20:55:52,"SD",1,,"somewhere"
69,"17-421",236,11/4/2018 20:57:32,"SD",1,,"somewhere"
78,"17-435",303,12/4/2018 20:11:17,"CB",1,,"DELTA RAMP"
79,"17-131",303,12/4/2018 20:12:17,"CB",1,,"LRS GATE"
81,"16-559",316,12/10/2018 19:43:28,"CB",1,,"C RAMP"
82,"18-082",329,12/17/2018 11:35:25,"KK",1,,"KK"
83,"16-066",329,12/17/2018 11:36:30,"KK",1,,"KK"
84,"17-472",330,12/17/2018 14:19:21,"JG",1,"","FLIGHT LINE ROAD"
86,"17-435",332,12/18/2018 21:00:07,"KF",1,"","C RAMP"
89,"18-262",342,12/22/2018 16:07:54,"CB",1,,"E RAMP"
90,"17-599",352,12/29/2018 15:52:07,"CB",1,,"E RAMP"
92,"17-599",374,1/11/2019 10:52:47,"CB",1,,"C RAMP"
100,"18-285",387,1/17/2019 17:02:17,"JB",1,"","C RAMP/CURRENT"
101,"18-240",390,1/19/2019 10:01:38,"SD",1,,"fuel cell"
103,"17-326",392,1/20/2019 10:39:46,"CB",1,,"D RAMP"
108,"18-266",403,1/24/2019 14:30:59,"JB",1,,"C5-2"
109,"15-416",403,1/24/2019 14:31:31,"JB",1,,"C5-2"
110,"17-439",403,1/24/2019 14:31:47,"JB",1,,"CHARLIE RAMP"
111,"17-419",402,1/25/2019 21:28:29,"JB",1,,"CHARLIE RAMP, MARKER FOR WHEN LICENSE WAS RENEWED IS UNREADABLE, TOLD TO FIX DISCREPANCY"
115,"18-370",411,1/28/2019 16:48:56,"JB",1,,"C5-2"
117,"18-215",416,1/31/2019 9:23:05,"SD",1,,"FLT LN RD"
118,"15-069",419,2/1/2019 15:06:10,"JB",1,,"CHARLIE RAMP"
119,"16-149",423,2/3/2019 21:23:27,"JB",1,,"CV-1"
120,"16-290",425,2/4/2019 19:21:01,"JB",1,,"C5-1"
123,"17-493",433,2/8/2019 13:46:42,"JB",1,,"AMC RAMP"
127,"18-078",467,2/25/2019 12:53:49,"DJ",1,,"DELTA APRON"
131,"16-269",470,2/26/2019 13:01:42,"DJ",1,,"DELTA APRON"
137,"17-546",506,3/11/2019 21:12:41,"KK",1,,"KK"
138,"17-054",506,3/11/2019 21:14:15,"KK",1,,"KK"
139,"16-568",518,3/17/2019 17:56:08,"DJ",1,"","CHARLIE RAMP"
166,"18-390",848,6/22/2019 13:45:18,"SD",1,,"fsd"
167,"18-390",848,6/22/2019 13:45:30,"SD",1,,"dsas"
236,"17-072",862,6/23/2019 10:35:40,"CB",1,,"G NORTH"
237,"17-493",862,6/23/2019 10:36:17,"CB",1,,"C RAMP"
239,"0054-4582",862,6/23/2019 10:48:31,,1,"","C RAMP"
241,"0054-9684",865,6/23/2019 18:29:58,,1,"","G RAMP"
243,"0055-0535",865,6/23/2019 18:30:40,,1,"","G RAMP"
245,"07-788",867,6/24/2019 9:10:06,,1,"","E RAMP"
247,"15-367",867,6/24/2019 12:30:48,"CB",1,,"C RAMP"
