"ID","shiftID","logOn","logOff","checkDate","outTime","inTime","Inspection","AF483Count","checkType","specialCheck","Remarks","callsign","initials","by","closed"
170,222,2405,2405,31-Oct-2018 00:00:00,30-Dec-1899 05:22:00,30-Dec-1899 06:23:00,0,2,"6,8",,"2 483S LOGGED IN COMPLIANCE","AFLD5","SD",,1
172,222,2407,2407,31-Oct-2018 00:00:00,30-Dec-1899 07:54:00,30-Dec-1899 08:12:00,0,0,"6,8",,,"AFLD5","SD",,1
174,224,2443,2444,01-Nov-2018 00:00:00,30-Dec-1899 05:39:00,30-Dec-1899 06:39:00,0,1,"6,8",,"1 483 LOGGED IN COMPLIANCE","AFLD5","SD",,1
181,224,2447,2448,01-Nov-2018 00:00:00,30-Dec-1899 08:51:00,30-Dec-1899 10:00:00,0,0,"9",,"LIGHTING CK CMPLT","AFLD5","SD",,1
190,225,2471,2472,02-Nov-2018 00:00:00,30-Dec-1899 02:14:00,30-Dec-1899 02:48:00,0,0,"6,8",,,"AFLD5","AP",,1
193,226,2480,2481,02-Nov-2018 00:00:00,30-Dec-1899 05:37:00,30-Dec-1899 05:58:00,0,0,"6,8",,,"AFLD5","KK",,1
195,226,2485,2486,02-Nov-2018 00:00:00,30-Dec-1899 08:13:00,30-Dec-1899 08:30:00,0,0,"6,8",,,"AFLD5","KK",,1
202,236,2556,2557,04-Nov-2018 00:00:00,30-Dec-1899 04:58:00,30-Dec-1899 05:18:00,0,0,"6,8",,,"AFLD5","KK",,1
205,236,2621,2622,04-Nov-2018 00:00:00,30-Dec-1899 11:01:00,30-Dec-1899 11:55:00,0,2,"6,8",,"2 483S LOGGED IN COMPLIANCE","AFLD5","KK",,1
209,239,2661,2662,05-Nov-2018 00:00:00,30-Dec-1899 04:40:00,30-Dec-1899 06:20:00,0,0,"6,8",,,"AFLD5","KG",,1
210,239,2663,0,05-Nov-2018 00:00:00,30-Dec-1899 07:12:00,,0,0,"6,8",,,"AFLD5","SD",,0
211,251,2897,2898,11-Nov-2018 00:00:00,30-Dec-1899 09:15:00,30-Dec-1899 09:32:00,0,0,"6,8",,,"AFLD5","SD",,1
213,251,2899,2900,11-Nov-2018 00:00:00,30-Dec-1899 11:01:00,30-Dec-1899 11:46:00,0,0,"9",,"LIGHTING","AFLD5","CB",,1
241,285,3325,3326,26-Nov-2018 00:00:00,30-Dec-1899 04:36:00,30-Dec-1899 05:01:00,0,0,"6,8",,,"AFLD5","SD",,1
243,285,3327,3328,26-Nov-2018 00:00:00,30-Dec-1899 06:37:00,30-Dec-1899 07:06:00,0,0,"6,8",,,"AFLD5","SD",,1
274,291,3422,3423,29-Nov-2018 00:00:00,30-Dec-1899 00:23:00,30-Dec-1899 01:03:00,0,0,"6,8",,,"AFLD5","SD",,1
277,291,3424,3425,29-Nov-2018 00:00:00,30-Dec-1899 01:06:00,30-Dec-1899 01:16:00,0,0,"6,8",,,"AFLD5","JB",,1
281,291,3428,3429,29-Nov-2018 00:00:00,30-Dec-1899 03:08:00,30-Dec-1899 03:23:00,0,0,"6,8",,,"AFLD5","SD",,1
283,292,3433,3434,29-Nov-2018 00:00:00,30-Dec-1899 05:07:00,30-Dec-1899 05:29:00,0,0,"6,8",,,"AFLD5","CB",,1
286,292,3435,3436,29-Nov-2018 00:00:00,30-Dec-1899 04:31:00,30-Dec-1899 04:34:00,0,0,"7",,,"AFLD5","KG",,1
287,292,3438,3439,29-Nov-2018 00:00:00,30-Dec-1899 07:46:00,30-Dec-1899 08:04:00,0,0,"9",,"RAMP CK","AFLD5","CB/AP",,1
291,292,3441,3442,29-Nov-2018 00:00:00,30-Dec-1899 10:00:00,30-Dec-1899 11:16:00,0,0,"9",,"LIGHTING CK","AFLD5","AP/CB",,1
293,292,3444,3445,29-Nov-2018 00:00:00,30-Dec-1899 12:18:00,30-Dec-1899 12:32:00,0,0,"9",,"FINAL CK","AFLD5","CB",,1
295,294,3462,3464,30-Nov-2018 00:00:00,30-Dec-1899 05:48:00,30-Dec-1899 06:35:00,0,0,"9",,"RAMP CK","AFLD5","CB",,1
297,294,3469,3470,30-Nov-2018 00:00:00,30-Dec-1899 09:09:00,30-Dec-1899 09:57:00,0,0,"9",,"LIGHTING CK","AFLD5","AP",,1
299,294,3471,3472,30-Nov-2018 00:00:00,30-Dec-1899 11:22:00,30-Dec-1899 11:47:00,0,0,"6,8",,,"AFLD5","CB",,1
