"ID","NOTAM","nType","countryCode","qcode","aerodrome","startTime","endTime","period","verbiage","issuedBy","isCancelled"
9085,"M0001/18","N","RJJJ","QXXXX","RJTY",1/3/2018 21:25:00,2/12/2018 11:18:52,,"AERODROME NORTHEAST 2/9 RWY DISTANCE MARKER OUT OF SERVICE","CB",1
9086,"M0002/18","N","RJJJ","QXXXX","RJTY",1/4/2018 5:32:00,1/18/2018 1:05:04,,"AERODROME TWY A3 CLSD TO FIGHTER ACFT, AND ACFT WITH A WINGSPAN LARGER THAN 133 FT.","KK",1
9087,"M0003/18","N","RJJJ","QCAAS","RJTY",1/4/2018 21:38:00,1/5/2018 0:57:59,,"PILOT TO METAR 344.6 UNSERVICEABLE","SD",1
9088,"M0004/18","C",,,"RJTY",1/5/2018 0:57:59,1/8/2018 0:57:59,,"Cancel M0003/18","SD",0
9089,"M0005/18","N","RJJJ","QWVLW","RJTY",1/7/2018 20:18:00,1/12/2018 3:35:00,,"AERODROME IMC FORMATION FLIGHT WILL TAKE PLACE AT THE FOLLOWING TIMES AND LOCATIONS: MONDAY, 8 JANUARY 3 X C-130S, SRFC TO 1,015 FT AGL, 08 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN TUESDAY, 9 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 08 JAN/2330Z–09 JAN/0230Z, EAGLE DZ, SKE RUN-IN 2 X C-130S, SRFC TO 1,015 FT AGL, 09 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN WEDNESDAY, 10 JANUARY 3 X C-130S, SRFC TO 1,015 FT AGL, 09 JAN/2300Z-10 JAN/0300Z, EAGLE DZ, SKE RUN-IN 4 X C-130S, SRFC TO 1,015 FT AGL, 10 JAN/0600Z-1030Z, EAGLE DZ, SKE RUN-IN THURSDAY, 11 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 10 JAN/2300Z-11 JAN/0300Z, EAGLE DZ, SKE RUN-IN 2 X C-130S, SRFC TO 1,015 FT AGL, 11 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN FRIDAY, 12 JANUARY 4 X C-130S, SRFC TO 1,015 FT AGL, 12 JAN/0001Z-0330Z, EAGLE DZ, SKE RUN-IN","KK",0
9090,"M0006/18","N","RJJJ","QMRGO","RJTY",1/8/2018 6:21:00,1/8/2018 13:00:00,,"RUNWAY IS WET, BUT NO STANDING WATER.","KN",0
9091,"M0007/18","C",,,"RJTY",1/8/2018 7:42:58,1/11/2018 7:42:58,,"Cancel M0808/17","KN",0
9092,"M0008/18","N","RJJJ","QMRGO","RJTY",1/8/2018 20:25:00,1/9/2018 4:49:48,,"AERODROME RWY IS WET","SD",1
9093,"M0009/18","C",,,"RJTY",1/9/2018 4:49:48,1/12/2018 4:49:48,,"Cancel M0008/18","SD",0
9094,"L0001/18","N","RJJJ","QXXXX","RJTY",1/9/2018 12:37:00,1/10/2018 8:00:00,,"K-TAXIWAY CLOSED","KN",0
9095,"M0010/18","N","RJJJ","QXXXX","RJTY",1/14/2018 2:00:00,1/11/2018 7:16:03,,"AERODROME RUNWAY CLOSED.","KG",1
9096,"L0002/18","N","RJJJ","QXXXX","RJTY",1/10/2018 9:44:00,1/11/2018 4:43:43,,"K-TAXIWAY CLOSED","KG",1
9097,"L0003/18","N","RJJJ","QXXXX","RJTY",1/10/2018 9:45:00,1/11/2018 3:00:00,,"H-TAXIWAY CLOSED","KN",0
9098,"L0004/18","C",,,"RJTY",1/11/2018 4:43:43,1/14/2018 4:43:43,,"Cancel L0002/18","KG",0
9099,"M0011/18","C",,,"RJTY",1/11/2018 7:16:03,1/14/2018 7:16:03,,"Cancel M0010/18","KG",0
9100,"M0012/18","N","RJJJ","QFALC","RJTY",1/14/2018 1:00:00,1/12/2018 2:56:40,,"AERODROME RUNWAY CLOSED","SD",1
9101,"M0013/18","N","RJJJ","QXXXX","RJTY",1/13/2018 0:30:00,1/12/2018 3:43:42,,"NATIONWIDE QUIET HOURS IN EFFECT","SD",1
9102,"L0005/18","N","RJJJ","QXXXX","RJTY",1/14/2018 21:00:00,1/19/2018 13:00:00,,"PARKING SPOTS C12 AND C14 CLOSED","SD",0
9103,"M0014/18","C",,,"RJTY",1/12/2018 2:56:40,1/15/2018 2:56:40,,"Cancel M0012/18","SD",0
9104,"M0015/18","N","RJJJ","QFALC","RJTY",1/14/2018 1:00:00,1/14/2018 5:00:00,," AERODROME CLSD EXC EMERGENCY ACFT WITH 15 MIN NOTIFICATION. NO RESTRICTION TO GROUND OPS","SD",0
9105,"M0016/18","C",,,"RJTY",1/12/2018 3:43:42,1/15/2018 3:43:42,,"Cancel M0013/18","SD",0
9106,"M0017/18","N","RJJJ","QXXXX","RJTY",1/13/2018 0:30:00,1/13/2018 9:10:00,,"QUIET HOURS IN EFFECT","SD",0
