"Reference ID","NOTAM number","Accountability","Designator","Q Code","Status","ICAO format","NOTAM Originator","Start Date","End Date","Cancel Date","Cancelled By","Activation Notes","Cancellation Notes"
"48445701","M0001/18","RJTY","RJTY","QXXXX","Cancelled","M0001/18 NOTAMN 
Q) RJJJ/QXXXX/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801032125 
C) 1803032100 
E) AERODROME NORTHEAST 2/9 RWY DISTANCE MARKER OUT OF SERVICE","Caleb Briscoe","01/03/2018 21:25:00","03/03/2018 21:00:00","02/12/2018 11:18:52","Caleb Briscoe",," Hazard no longer exists."
"48449413","M0002/18","RJTY","RJTY","QXXXX","Cancelled","M0002/18 NOTAMN 
Q) RJJJ/QXXXX/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801040532 
C) 1801311300 
E) AERODROME TWY A3 CLSD TO FIGHTER ACFT, AND ACFT WITH A WINGSPAN LARGER THAN 133 FT.","KARINA SOTOMAYOR","01/04/2018 05:32:00","01/31/2018 13:00:00","01/18/2018 01:05:04","KAIRNA SOTOMAYOR",," Hazard no longer exists."
"48460211","M0003/18","RJTY","RJTY","QCAAS","Cancelled","M0003/18 NOTAMN 
Q) RJJJ/QCAAS/IV/BO/AE/000/999/3544N13920E005 
A) RJTY 
B) 1801042138 
C) 1801060415 
E) PILOT TO METAR 344.6 UNSERVICEABLE","Shane DeSouza","01/04/2018 21:38:00","01/06/2018 04:15:00","01/05/2018 00:57:59","Shane DeSouza",," Hazard no longer exists."
"48462071","M0004/18","RJTY","RJTY",,"Expired","M0004/18 NOTAMC M0003/18
A) RJTY","Shane DeSouza","01/05/2018 00:57:59","01/08/2018 00:57:59",,,,
"48489177","M0005/18","RJTY","RJTY","QWVLW","Expired","M0005/18 NOTAMN 
Q) RJJJ/QWVLW/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801072018 
C) 1801120335 
E) AERODROME IMC FORMATION FLIGHT WILL TAKE PLACE AT THE FOLLOWING TIMES AND LOCATIONS: MONDAY, 8 JANUARY 3 X C-130S, SRFC TO 1,015 FT AGL, 08 JAN/0800Z-1200Z, EAGLE DZ, SKE RUN-IN TUESDAY, 9 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 08 JAN/2330Z–09 JAN/0230Z, EAGLE DZ, SKE RUN-IN 2 X C-130S, SRFC TO 1,015 FT AGL, 09 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN WEDNESDAY, 10 JANUARY 3 X C-130S, SRFC TO 1,015 FT AGL, 09 JAN/2300Z-10 JAN/0300Z, EAGLE DZ, SKE RUN-IN 4 X C-130S, SRFC TO 1,015 FT AGL, 10 JAN/0600Z-1030Z, EAGLE DZ, SKE RUN-IN THURSDAY, 11 JANUARY 2 X C-130S, SRFC TO 1,015 FT AGL, 10 JAN/2300Z-11 JAN/0300Z, EAGLE DZ, SKE RUN-IN 2 X C-130S, SRFC TO 1,015 FT AGL, 11 JAN/0600Z-1000Z, EAGLE DZ, SKE RUN-IN FRIDAY, 12 JANUARY 4 X C-130S, SRFC TO 1,015 FT AGL, 12 JAN/0001Z-0330Z, EAGLE DZ, SKE RUN-IN","KARINA SOTOMAYOR","01/07/2018 20:18:00","01/12/2018 03:35:00",,,,
"48493523","M0006/18","RJTY","RJTY","QMRGO","Expired","M0006/18 NOTAMN 
Q) RJJJ/QMRGO/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801080621 
C) 1801081300 
E) RUNWAY IS WET, BUT NO STANDING WATER.","Keita Nanko","01/08/2018 06:21:00","01/08/2018 13:00:00",,,,
"48494073","M0007/18","RJTY","RJTY",,"Cancelled","M0007/18 NOTAMC M0808/17
A) RJTY","Keita Nanko","01/08/2018 07:42:58","01/11/2018 07:42:58","01/11/2018 07:42:00",,,
"48504260","M0008/18","RJTY","RJTY","QMRGO","Cancelled","M0008/18 NOTAMN 
Q) RJJJ/QMRGO/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801082025 
C) 1801090500 
E) AERODROME RWY IS WET","Shane DeSouza","01/08/2018 20:25:00","01/09/2018 05:00:00","01/09/2018 04:49:48","Shane DeSouza",," Hazard no longer exists."
"48509063","M0009/18","RJTY","RJTY",,"Expired","M0009/18 NOTAMC M0008/18
A) RJTY","Shane DeSouza","01/09/2018 04:49:48","01/12/2018 04:49:48",,,,
"48512504","L0001/18","RJTY","RJTY","QXXXX","Expired","L0001/18 NOTAMN 
Q) RJJJ/QXXXX/IV/NBO/A/000/999/3544N13920E005 
A) RJTY 
B) 1801091237 
C) 1801100800 
E) K-TAXIWAY CLOSED","Keita Nanko","01/09/2018 12:37:00","01/10/2018 08:00:00",,,,
