"ID","Spot","dWidth","dLength","Ramp","Closed","Occupied"
115,"AMC",,,,0,0
7,"C1",169.83,,"C",0,0
16,"C10",169.83,,"C",0,0
17,"C11",169.83,,"C",0,0
18,"C12",169.83,,"C",0,0
111,"C121",54.50,,"C12",0,0
112,"C122",54.50,,"C12",0,0
113,"C123",54.50,,"C12",0,0
114,"C124",54.50,,"C12",0,0
19,"C13",169.83,,"C",0,0
20,"C14",169.83,,"C",0,0
8,"C2",169.83,,"C",0,0
9,"C3",169.83,,"C",0,0
10,"C4",169.83,,"C",0,0
11,"C5",169.83,,"C",0,0
21,"C51",222.75,,"C5",0,0
22,"C52",222.75,,"C5",0,0
23,"C53",222.75,,"C5",0,0
24,"C54",222.75,,"C5",0,0
25,"C55",222.75,,"C5",0,0
12,"C6",169.83,,"C",0,0
13,"C7",169.83,,"C",0,0
14,"C8",169.83,,"C",0,0
15,"C9",169.83,,"C",0,0
105,"CV1",,,"CV",0,0
106,"CV2",,,"CV",0,0
107,"CV3",,,"CV",0,0
108,"CV4",,,"CV",0,0
109,"CV5",,,"CV",0,0
110,"CV6",,,"CV",0,0
26,"D1",132.58,,"D",0,0
35,"D10",132.58,,"D",0,0
36,"D11",132.58,,"D",0,0
37,"D12",132.58,,"D",0,0
38,"D13",132.58,,"D",0,0
39,"D14",132.58,,"D",0,0
40,"D15",132.58,,"D",0,0
41,"D16",132.58,,"D",0,0
27,"D2",132.58,,"D",0,0
28,"D3",132.58,,"D",0,0
29,"D4",132.58,,"D",0,0
30,"D5",132.58,,"D",0,0
31,"D6",132.58,,"D",0,0
32,"D7",132.58,,"D",0,0
33,"D8",132.58,,"D",0,0
34,"D9",132.58,,"D",0,0
50,"DV1",,,,0,0
51,"DV2",,,,0,0
42,"E1",54.50,,"E",0,0
43,"E2",54.50,,"E",0,0
44,"E3",54.50,,"E",0,0
45,"E4",54.50,,"E",0,0
46,"E5",54.50,,"E",0,0
47,"E6",54.50,,"E",0,0
48,"E7",54.50,,"E",0,0
52,"F1",132.58,,,0,0
61,"F10",132.58,,,0,0
62,"F11",132.58,,,0,0
63,"F12",132.58,,,0,0
64,"F13",132.58,,,0,0
65,"F14",132.58,,,0,0
66,"F15",132.58,,,0,0
67,"F16",132.58,,,0,0
68,"F17",132.58,,,0,0
53,"F2",132.58,,,0,0
54,"F3",132.58,,,0,0
55,"F4",132.58,,,0,0
56,"F5",132.58,,,0,0
57,"F6",132.58,,,0,0
58,"F7",132.58,,,0,0
59,"F8",132.58,,,0,0
60,"F9",132.58,,,0,0
69,"G1",132.58,,,0,0
78,"G10",132.58,,,0,0
79,"G11",132.58,,,0,0
80,"G12",132.58,,,0,0
81,"G13",132.58,,,0,0
82,"G14",132.58,,,0,0
83,"G15",132.58,,,0,0
84,"G16",132.58,,,0,0
85,"G17",132.58,,,0,0
86,"G18",132.58,,,0,0
87,"G19",132.58,,,0,0
70,"G2",132.58,,,0,0
88,"G20",132.58,,,0,0
89,"G21",132.58,,,0,0
71,"G3",132.58,,,0,0
72,"G4",132.58,,,0,0
73,"G5",132.58,,,0,0
74,"G6",132.58,,,0,0
75,"G7",132.58,,,0,0
76,"G8",132.58,,,0,0
77,"G9",132.58,,,0,0
90,"H1",132.58,,,0,0
91,"H2",132.58,,,0,0
92,"H3",132.58,,,0,0
93,"H4",132.58,,,0,0
94,"HC1",,,,0,0
95,"HC2",,,,0,0
96,"HC3",,,,0,0
97,"HC4",,,,0,0
98,"J1",132.58,,,0,0
99,"J2",132.58,,,0,0
100,"J3",132.58,,,0,0
101,"J4",132.58,,,0,0
102,"J5",132.58,,,0,0
103,"J6",132.58,,,0,0
104,"J7",132.58,,,0,0
117,"TBD",,,,0,0
116,"WING",,,,0,0
