"ID","entryDate","version","change"
1,21-Dec-2017 14:21:32,"0.1","test"
7,30-Dec-2017 09:25:40,"0.11","sbsdlfhkdjsfv"
8,30-Dec-2017 09:25:49,"0.12","+ Added a Change Log (finally)
* Adjusted size of certain fields to get rid of the ####
* Background changes
* Slight theme changes"
9,05-Jan-2018 12:13:11,"0.13","*"
11,05-Jan-2018 12:24:19,"0.14","* Fixed issue where entering 00:00 would make flight plans disappear
* Fixed minor sharepoint connection issues
* Theme changes
*""Logged in as"" should show your proper name"
21,06-Jan-2018 12:00:59,"0.15","+ Added method to check for updates to AeroStat"
22,06-Jan-2018 12:13:05,"0.16","+ Added method to check for updates to AeroStat"
24,08-Jan-2018 10:43:03,"0.17","* Cleaned up SharePoint code
* Reduced lag when refreshing tables
* Fix SharePoint error handling
* Fixed Date conversion errors
* Check in / out now inputs the current time by default"
25,08-Jan-2018 10:45:11,"0.18","* Cleaned up SharePoint code
* Reduced lag when refreshing tables
* Fix SharePoint error handling
* Fixed Date conversion errors
* Check in / out now inputs the current time by default"
26,08-Jan-2018 11:13:17,"0.19","* Cleaned up SharePoint code
* Reduced lag when refreshing tables
* Fix SharePoint error handling
* Fixed Date conversion errors
* Check in / out now inputs the current time by default"
27,09-Jan-2018 20:45:55,"0.2","- Started work on the ""All Flights"" page. (Buttons do not work yet)
-Fixed another disappearing flights issue"
28,10-Jan-2018 12:01:51,"0.21","- Fixed critical SharePoint issue re: KANTO's
- Made a text box bigger"
29,11-Jan-2018 11:40:13,"0.22","- Fixed disappearing flights
- Fixed a critical SharePoint issue
- Fixed flights being marked ""Closed"" for no reason"
30,12-Jan-2018 13:02:24,"0.23","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
31,12-Jan-2018 13:12:27,"0.24","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
32,12-Jan-2018 13:12:55,"0.23","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
35,12-Jan-2018 13:24:30,"0.25","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
38,12-Jan-2018 13:25:41,"0.26","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
39,12-Jan-2018 13:30:36,"0.27","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
40,12-Jan-2018 13:32:33,"0.28","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
41,12-Jan-2018 13:38:30,"0.29","- Added master PPR Log
- Set PPR Wiget to only show PPRs for the day.
- Added parking spots to PPR wiget
- Major SharePoint improvements"
42,14-Jan-2018 12:54:02,"0.3","- Added field for internal (AMOPS Only) Comments to the PPR Form"
43,15-Jan-2018 22:07:00,"0.31","- Several cosmetic changes
- ""All Flights"" now shows Arrival/Departure/Local
- ""All Flights"" shows flights for the current day (this cannot be changed yet)"
45,17-Jan-2018 12:46:27,"0.32","+ Added DV column to PPR wiget
+ Added method to reconnect to SharePoint when initial connection fails
+ You can now edit PPRs from other days using the master PPR menu
* Slight changes to cosmetics
* Fixed yet another time conversion error"
46,20-Jan-2018 13:22:16,"0.33","!IF THE *ATD* IS AFTER 0000Z, MAKE SURE THE DOF IS THE CURRENT DATE

* Cancelled PPRs now show on the SharePoint

* ""All Flights"" can now show ""All Flights"""
47,24-Jan-2018 20:13:24,"0.34","* HUGE improvements to the ""All Flights"" page"
48,27-Jan-2018 13:31:52,"0.35","+ Added Julian Date clock format (yellow)
+Added Flight plan quick cancel buttons (only one works)
* Fixed the Approach checkbox not working
* Code cleanup
* Made the ""On Station"" a little more stable
* Backend secrets! :D"
49,28-Jan-2018 13:22:32,"0.36","! Fixed an issue where editing a PPR would create duplicates on SP.
+ Added (and fixed) ""Quick Cancel"" buttons. They work just like the arr/dep buttons.
* Fixed the error when cancelling a flight plan directly from the strip.
* Optimized the traffic count code
* Checked the stability of ""On station"" wiget. I didn't change anything, but it didn't work, and now it works. Enough said.
? More backround setup for future super cool features"
50,30-Jan-2018 20:44:19,"0.37","* Fixed the time conversion errors. For real this time.

* Fixed a deadly SP bug that killed the database"
51,01-Feb-2018 05:25:27,"0.38","fw"
52,01-Feb-2018 08:56:49,"0.39","Force shutdown"
53,04-Feb-2018 21:34:14,"0.4","If the database does not work correctly, call me (SD) right away

* Applied a fix that only allowed one user to look at the database
* Backend formation handling (doesn't work yet)
* Backend Traffic count fix
* Fixed a potential DB crash"
54,10-Feb-2018 05:35:49,"0.41","* Fixed A LOT of errors and bugs
* Database no longer needs to be closed when pushing updates"
55,10-Feb-2018 08:03:18,"0.42","* Fixed A LOT of errors and bugs
* Database no longer needs to be closed when pushing updates"
56,11-Feb-2018 12:50:49,"0.43","* Background tweaks"
57,14-Feb-2018 08:32:04,"0.44","* Optimized PPR backend handling code"
58,17-Feb-2018 13:13:07,"0.45","* Fixed issue where searching flights by date wouldn't respond appropriately

* Code cleanup"
59,25-Feb-2018 10:39:35,"0.46","* Code cleanup

* Added backend code for 'Announcements' feature

* Fixed a bug with certain pages where they would sometimes appear on the wrong screen

* Added a preventitive check to 'Flight Plan Input' if the DOF doesn't make sense to the current date"
60,28-Feb-2018 21:40:04,"0.47","* The Traffic Count can now be found under the ""Analytics"" button!!"
63,05-Mar-2018 05:36:19,"0","* Fixed something weird…"
64,05-Mar-2018 05:36:28,"0.48","* Fixed something weird…"
66,07-Mar-2018 12:36:36,"0.49","test"
68,12-Mar-2018 13:02:38,"0.5","* Traffic Count is now fully functional. Check it out

* Optimized traffic count numbers; should be more accurate"
70,18-Mar-2018 14:40:53,"0.51","* Permenantly fixed startup issue when trying to launch on a mapped drive."
71,19-Mar-2018 18:49:26,"0.52","* Added a Quiet Hour tracker to the Analytics page
* Tweaked the traffic count for accuracy
* Synced the daily shift count from the old excel file for this year
* Disabled forcing the latest version (until needed)
* Cosmetics"
72,24-Mar-2018 08:32:00,"0.53","Boot."
76,24-Mar-2018 12:20:13,"0.54","-Added DV, Haz Cargo, and Transient* (inaccurate) to Analytics
-Added Haz Cargo option to Flight Plan Input

* The transient count is based on the tail number you input. If it is a formation, make sure at least one valid tail number is entered.*"
81,27-Mar-2018 22:00:09,"0.55","* Added Announcements! This wiget is now in a testing phase.
* Fixed some nuisance error messages when doing certain things"
83,08-Apr-2018 22:20:21,"0.56","* Fixed bug where someone users would still be ""Logged in"" after logging out
* Added search function to the PPR Log (All other buttons still do not work)
* Made the PPR List font a wee bit bigger
* Added/finshed the Events Log (it's still invisible)"
84,02-May-2018 23:09:28,"0.57","* Fixed the search bar in ""All Flights""
* Finished Digital 3616; not ready for use yet
* Added a way to see issue times in the PPR Request and Flight Plan Input windows"
85,03-May-2018 21:33:04,"0.58","* GUI Upgrade!!!
* Bug fix."
86,08-May-2018 21:51:03,"0.59","* Fixed aircraft sorting in 'All Flights.'
* Fixed an issue where the 'Flight Tracker' page would freeze for 2 seconds on the minute."
87,15-May-2018 16:42:24,"0.6","* Tracker now only updates when it detects a change"
89,16-May-2018 21:54:03,"0.61","* PPR requests now have different levels of approval."
91,28-May-2018 21:27:07,"0.62","* Started work on QRC/SOPs
* Started work on Airfield Parking Diagram
* Added duplicate protection for flight plans and PPRs
* Fixed a few errors
* Minor UI tweaks"
92,03-Jun-2018 13:05:38,"0.63","* Fixed another time-sorting issue in one of the wigets.
* Cosmetics
* Multiple tail numbers can be added to flight plans.
* Formations no longer need to be seperated, but if the formation lands at separate times, they shouldn't be a formation in the first place. (KANTOs)"
93,17-Jun-2018 14:11:57,"0.64","* Duplicate checks now automatically replace cancelled flight plans of the same callsign/tail if they overlap.

* Creating a new shift adds users upon creation (not enabled)

* Joining a shift automatically opens the log (for now; not enabled)"
94,21-Jun-2018 13:14:27,"0.65","* Enabled the Events Log for beta testing. Try it out!"
95,23-Jun-2018 10:34:34,"0.66","* Added capability to save events log as PDF
* Fixed issue where some users could not open the Events Log
* Fixed issue where the entry box wouldn’t clear when submitting an entry"
96,24-Jun-2018 12:49:12,"0.67","* Added useful buttons to the Analytics page

* Added feature to change dates on Analytics with arrow keys, and then apply changes with Enter

*Fixed an issue where the aircraft count would be slightly off

* Unfinished UI changes to Shift Dashboard

* Other changes that I probably forgot about"
